"torneo","equipo","id_partido","partido","fasepartido","local","tiempo","accuratePass","wonTackle","lostCorners","goalsConceded","saves","ontargetScoringAtt","totalScoringAtt","subsMade","totalThrows","totalYellowCard","goalKicks","totalPass","fkFoulWon","totalTackle","fkFoulLost","possessionPercentage","totalClearance","formationUsed","blockedScoringAtt","goalAssist","goals","totalOffside","shotOffTarget","wonCorners","cornerTaken","penaltyConceded","penaltyFaced","penGoalsConceded","penaltyWon","ownGoals","penaltySave","secondYellow","totalRedCard","posesion_Rival","precision_pases","precision_tiros","minutos_juego","minutos_juegorival","golesSalvados","foulsInofensivos","cortarJuegoContrario","juegoCortado"
"Primera Divisi<f3>n 2020","Colo Colo","35pyyyy6avswfe0hr2d22584q","Cobresal vs Colo Colo","Regular Season",FALSE,"fh",116,6,0,0,1,1,9,0,10,0,4,156,8,8,5,49.1,7,0,4,0,0,0,4,4,4,0,0,0,1,0,0,0,0,50.9,74.3589743589744,11.1111111111111,22.095,22.905,1,5,11,22
"Primera Divisi<f3>n 2020","Cobresal","35pyyyy6avswfe0hr2d22584q","Cobresal vs Colo Colo","Regular Season",TRUE,"fh",134,4,4,0,1,1,5,1,12,2,1,168,5,5,10,50.9,7,0,1,0,0,2,3,0,0,1,1,0,0,0,1,0,0,49.1,79.7619047619048,20,22.905,22.095,2,8,14,19
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","e97sbhywcohl2jbzelfi3xnxm","Audax Italiano vs Universidad Concepci<f3>n","Regular Season",FALSE,"fh",122,7,4,1,1,1,6,0,10,1,6,167,6,9,10,48.6,7,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,51.4,73.0538922155689,16.6666666666667,21.87,23.13,1,9,17,17
"Primera Divisi<f3>n 2020","Audax Italiano","e97sbhywcohl2jbzelfi3xnxm","Audax Italiano vs Universidad Concepci<f3>n","Regular Season",TRUE,"fh",122,8,1,0,1,2,8,0,12,1,5,173,9,11,7,51.4,11,0,1,1,1,0,5,4,4,0,0,0,0,0,0,0,1,48.6,70.5202312138728,33.3333333333333,23.13,21.87,1,6,15,25
"Primera Divisi<f3>n 2020","Palestino","9ojvxqa64pgu8jjuloey2ymwa","Audax Italiano vs Palestino","Regular Season",FALSE,"fh",151,4,2,0,2,2,6,0,25,0,5,197,5,10,8,52.1,2,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,47.9,76.6497461928934,33.3333333333333,23.445,21.555,2,8,12,32
"Primera Divisi<f3>n 2020","Audax Italiano","9ojvxqa64pgu8jjuloey2ymwa","Audax Italiano vs Palestino","Regular Season",TRUE,"fh",129,11,1,0,2,2,6,0,12,0,4,185,4,12,5,47.9,4,0,1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,52.1,69.7297297297297,33.3333333333333,21.555,23.445,2,5,16,19
"Primera Divisi<f3>n 2020","Colo Colo","6y20tzelpyuu805clkfjmdisq","Audax Italiano vs Colo Colo","Regular Season",FALSE,"fh",107,2,2,2,1,0,9,0,8,0,5,133,4,4,7,34.5,3,0,4,0,0,0,5,1,1,0,0,0,0,0,0,0,0,65.5,80.4511278195489,0,15.525,29.475,1,7,9,13
"Primera Divisi<f3>n 2020","Audax Italiano","6y20tzelpyuu805clkfjmdisq","Audax Italiano vs Colo Colo","Regular Season",TRUE,"fh",219,6,1,0,0,3,9,0,12,2,6,259,6,8,4,65.5,10,0,2,2,2,1,4,2,2,0,0,0,0,0,0,0,0,34.5,84.5559845559846,45.4545454545455,29.475,15.525,0,2,10,21
"Primera Divisi<f3>n 2020","Cobresal","18ygbx2z2q3pesbr1ljpxiru2","Audax Italiano vs Cobresal","Regular Season",FALSE,"fh",141,0,1,1,0,2,6,0,12,2,5,178,5,1,7,42,5,0,2,0,1,0,2,1,1,0,0,0,1,0,0,0,0,58,79.2134831460674,42.8571428571429,18.9,26.1,0,5,7,18
"Primera Divisi<f3>n 2020","Audax Italiano","18ygbx2z2q3pesbr1ljpxiru2","Audax Italiano vs Cobresal","Regular Season",TRUE,"fh",220,2,1,1,1,1,6,0,6,1,3,246,6,4,6,58,11,0,0,1,1,0,5,1,1,1,1,1,0,0,0,0,0,42,89.4308943089431,28.5714285714286,26.1,18.9,1,5,8,13
