"torneo","equipo","id_partido","partido","fasepartido","local","tiempo","accuratePass","wonTackle","lostCorners","goalsConceded","saves","ontargetScoringAtt","totalScoringAtt","subsMade","totalThrows","totalYellowCard","goalKicks","totalPass","fkFoulWon","totalTackle","fkFoulLost","possessionPercentage","totalClearance","formationUsed","blockedScoringAtt","goalAssist","goals","totalOffside","shotOffTarget","wonCorners","cornerTaken","penaltyConceded","penaltyFaced","penGoalsConceded","penaltyWon","ownGoals","penaltySave","secondYellow","totalRedCard","posesion_Rival","precision_pases","precision_tiros","minutos_juego","minutos_juegorival","golesSalvados","foulsInofensivos","cortarJuegoContrario","juegoCortado"
"Primera Divisi<f3>n 2020","Everton","9pcxu7kk2foxef6vi5x4vmr8q","Uni<f3>n Espa<f1>ola vs Everton","Regular Season",FALSE,"fh",90,3,2,0,2,2,7,0,9,1,5,136,5,3,5,36.7,4,0,2,0,0,0,3,2,2,0,0,0,1,0,0,0,0,63.3,66.1764705882353,28.5714285714286,16.515,28.485,2,4,8,16
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","9pcxu7kk2foxef6vi5x4vmr8q","Uni<f3>n Espa<f1>ola vs Everton","Regular Season",TRUE,"fh",196,7,2,0,2,2,7,0,10,1,3,241,4,7,5,63.3,4,0,1,0,0,0,4,2,2,1,1,0,0,0,1,0,0,36.7,81.3278008298755,28.5714285714286,28.485,16.515,3,4,12,16
"Primera Divisi<f3>n 2020","Deportes Iquique","197v28lujrhutjesetsclnfca","Uni<f3>n Espa<f1>ola vs Deportes Iquique","Regular Season",FALSE,"fh",74,3,2,0,5,2,3,0,5,2,11,146,5,6,12,35.5,15,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,64.5,50.6849315068493,75,15.975,29.025,5,10,15,11
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","197v28lujrhutjesetsclnfca","Uni<f3>n Espa<f1>ola vs Deportes Iquique","Regular Season",TRUE,"fh",185,3,0,1,1,5,11,0,26,1,2,258,10,4,5,64.5,0,0,2,0,0,2,4,2,2,0,0,0,0,0,0,0,0,35.5,71.7054263565892,45.4545454545455,29.025,15.975,1,4,8,40
"Primera Divisi<f3>n 2020","Audax Italiano","6yxh7apnh9sqsbe613znwm5pm","Uni<f3>n Espa<f1>ola vs Audax Italiano","Regular Season",FALSE,"fh",94,7,2,1,1,3,5,0,9,0,7,130,5,8,5,39.6,13,0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,60.4,72.3076923076923,71.4285714285714,17.82,27.18,1,5,12,16
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","6yxh7apnh9sqsbe613znwm5pm","Uni<f3>n Espa<f1>ola vs Audax Italiano","Regular Season",TRUE,"fh",158,8,1,2,1,2,7,0,15,1,3,192,5,9,6,60.4,3,0,1,1,1,1,4,2,2,0,0,0,0,0,0,0,0,39.6,82.2916666666667,37.5,27.18,17.82,1,5,14,23
"Primera Divisi<f3>n 2020","Universidad de Chile","6yilqf9wqaytloo1ufvvems8a","Santiago Wanderers vs Universidad de Chile","Regular Season",FALSE,"fh",92,4,4,1,2,2,3,0,11,0,3,135,10,8,6,42.3,8,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,57.7,68.1481481481482,66.6666666666667,19.035,25.965,2,6,10,23
"Primera Divisi<f3>n 2020","Santiago Wanderers","6yilqf9wqaytloo1ufvvems8a","Santiago Wanderers vs Universidad de Chile","Regular Season",TRUE,"fh",135,14,1,0,2,3,4,0,7,2,3,178,5,15,10,57.7,8,0,0,0,1,2,1,4,4,0,0,0,1,0,0,0,0,42.3,75.8426966292135,80,25.965,19.035,2,8,24,18
"Primera Divisi<f3>n 2020","Universidad Cat<f3>lica","191g99vlhfed82gq6lput4mzu","Santiago Wanderers vs Universidad Cat<f3>lica","Regular Season",FALSE,"fh",95,5,1,0,3,4,5,0,11,2,6,138,6,9,6,49.3,11,0,1,0,1,2,0,2,2,0,0,0,1,0,0,0,0,50.7,68.8405797101449,83.3333333333333,22.185,22.815,3,4,11,21
"Primera Divisi<f3>n 2020","Santiago Wanderers","191g99vlhfed82gq6lput4mzu","Santiago Wanderers vs Universidad Cat<f3>lica","Regular Season",TRUE,"fh",102,2,2,1,2,4,11,0,17,0,1,147,6,4,8,50.7,8,0,3,0,0,2,4,1,1,1,1,1,0,0,0,0,0,49.3,69.3877551020408,36.3636363636364,22.815,22.185,2,8,10,26
"Primera Divisi<f3>n 2020","Palestino","e84v6l832ohamgmxob40jly0a","Santiago Wanderers vs Palestino","Regular Season",FALSE,"fh",110,4,2,0,0,3,5,0,16,0,2,173,8,6,7,53.7,4,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,46.3,63.5838150289017,60,24.165,20.835,0,7,11,28
"Primera Divisi<f3>n 2020","Santiago Wanderers","e84v6l832ohamgmxob40jly0a","Santiago Wanderers vs Palestino","Regular Season",TRUE,"fh",84,8,2,0,3,0,3,0,12,1,5,148,7,9,8,46.3,7,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,53.7,56.7567567567568,0,20.835,24.165,3,7,16,23
"Primera Divisi<f3>n 2020","Audax Italiano","9pg2evs77obh70jmd5wa7lsh6","Santiago Wanderers vs Audax Italiano","Regular Season",FALSE,"fh",91,1,3,2,2,1,1,0,17,3,2,140,9,3,6,43.1,15,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,56.9,65,100,19.395,25.605,2,3,7,26
"Primera Divisi<f3>n 2020","Santiago Wanderers","9pg2evs77obh70jmd5wa7lsh6","Santiago Wanderers vs Audax Italiano","Regular Season",TRUE,"fh",127,5,0,1,0,4,6,0,12,1,1,173,5,9,9,56.9,3,0,1,1,2,5,1,3,3,1,1,1,1,0,0,0,0,43.1,73.4104046242775,75,25.605,19.395,0,8,14,25
"Primera Divisi<f3>n 2020","O'Higgins","6ym9dsw0dj09hkaogeek8lkdm","Palestino vs O'Higgins","Regular Season",FALSE,"fh",84,3,0,0,2,2,7,0,8,0,4,128,7,5,9,40.2,8,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,59.8,65.625,28.5714285714286,18.09,26.91,2,9,12,20
"Primera Divisi<f3>n 2020","Palestino","6ym9dsw0dj09hkaogeek8lkdm","Palestino vs O'Higgins","Regular Season",TRUE,"fh",162,6,5,0,2,2,4,0,18,1,5,203,8,8,7,59.8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.2,79.8029556650246,50,26.91,18.09,2,6,13,26
"Primera Divisi<f3>n 2020","Huachipato","35dbqror24rncs5jsmsrw19ii","Palestino vs Huachipato","Regular Season",FALSE,"fh",152,4,0,1,2,1,2,0,18,2,3,206,9,4,8,52.9,7,0,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,47.1,73.7864077669903,50,23.805,21.195,2,6,12,31
"Primera Divisi<f3>n 2020","Palestino","35dbqror24rncs5jsmsrw19ii","Palestino vs Huachipato","Regular Season",TRUE,"fh",132,3,3,0,1,3,6,0,11,2,0,181,7,4,10,47.1,8,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,52.9,72.9281767955801,57.1428571428571,21.195,23.805,1,8,13,19
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","9plife5g642pjqc0z00otp84q","Palestino vs Deportivo Antofagasta","Regular Season",FALSE,"fh",89,3,5,0,2,2,9,0,11,0,6,133,6,5,6,34.3,13,0,1,1,2,1,6,1,1,0,0,0,0,0,0,0,0,65.7,66.9172932330827,36.3636363636364,15.435,29.565,2,6,9,19
"Primera Divisi<f3>n 2020","Palestino","9plife5g642pjqc0z00otp84q","Palestino vs Deportivo Antofagasta","Regular Season",TRUE,"fh",204,4,1,2,1,2,12,0,15,0,4,252,3,4,6,65.7,8,0,6,0,0,4,4,5,5,0,0,0,0,1,0,0,0,34.3,80.9523809523809,16.6666666666667,29.565,15.435,1,6,10,27
"Primera Divisi<f3>n 2020","Universidad de Chile","9pz6fw8k6dahow8rddtrro7e2","O'Higgins vs Universidad de Chile","Regular Season",FALSE,"fh",136,5,1,2,2,2,3,0,11,1,2,178,12,5,7,51.8,4,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,48.2,76.4044943820225,75,23.31,21.69,2,6,12,27
"Primera Divisi<f3>n 2020","O'Higgins","9pz6fw8k6dahow8rddtrro7e2","O'Higgins vs Universidad de Chile","Regular Season",TRUE,"fh",114,9,2,1,1,4,5,0,13,2,2,164,7,13,13,48.2,7,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,51.8,69.5121951219512,85.7142857142857,21.69,23.31,1,11,22,21
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","18sc8umawu7jp8f65hjcnnuqy","O'Higgins vs Uni<f3>n La Calera","Regular Season",FALSE,"fh",99,2,2,0,1,2,3,0,12,0,7,157,10,3,4,42.3,14,0,0,0,1,1,1,3,3,0,0,0,1,0,0,0,0,57.7,63.0573248407643,75,19.035,25.965,1,4,6,26
"Primera Divisi<f3>n 2020","O'Higgins","18sc8umawu7jp8f65hjcnnuqy","O'Higgins vs Uni<f3>n La Calera","Regular Season",TRUE,"fh",168,6,3,1,1,1,7,0,24,2,2,221,4,6,10,57.7,4,0,3,0,0,0,3,2,2,1,1,1,0,0,0,0,0,42.3,76.0180995475113,14.2857142857143,25.965,19.035,1,8,16,30
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","9o493mo2l8s2gxuqtkduwpv8q","O'Higgins vs Uni<f3>n Espa<f1>ola","Regular Season",FALSE,"fh",160,0,0,1,1,3,4,0,13,2,4,208,10,1,5,61.3,4,0,1,1,2,0,0,5,5,1,1,1,0,0,0,0,0,38.7,76.9230769230769,83.3333333333333,27.585,17.415,1,3,5,28
"Primera Divisi<f3>n 2020","O'Higgins","9o493mo2l8s2gxuqtkduwpv8q","O'Higgins vs Uni<f3>n Espa<f1>ola","Regular Season",TRUE,"fh",82,4,5,2,1,2,5,0,8,2,2,132,4,6,10,38.7,6,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,61.3,62.1212121212121,50,17.415,27.585,1,8,14,13
"Primera Divisi<f3>n 2020","Santiago Wanderers","6xh7e6om0s7btpyvxdqjn8iga","O'Higgins vs Santiago Wanderers","Regular Season",FALSE,"fh",123,5,1,1,4,3,8,0,8,1,1,161,7,5,9,55.9,5,0,2,1,1,0,3,5,5,1,1,1,0,0,0,0,0,44.1,76.3975155279503,44.4444444444444,25.155,19.845,4,8,14,20
"Primera Divisi<f3>n 2020","O'Higgins","6xh7e6om0s7btpyvxdqjn8iga","O'Higgins vs Santiago Wanderers","Regular Season",TRUE,"fh",86,2,5,1,2,5,5,0,15,1,6,130,7,5,8,44.1,9,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,55.9,66.1538461538461,100,19.845,25.155,2,7,10,25
"Primera Divisi<f3>n 2020","Santiago Wanderers","9p2f4vghjym3sljohurvpjdyi","La Serena vs Santiago Wanderers","Regular Season",FALSE,"fh",116,6,2,2,1,3,8,0,12,0,2,170,6,7,5,48.3,6,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,51.7,68.2352941176471,37.5,21.735,23.265,1,5,11,19
"Primera Divisi<f3>n 2020","La Serena","9p2f4vghjym3sljohurvpjdyi","La Serena vs Santiago Wanderers","Regular Season",TRUE,"fh",129,1,0,0,3,4,7,1,19,1,7,181,5,3,6,51.7,1,0,1,2,2,1,2,2,2,0,0,0,0,0,0,0,0,48.3,71.2707182320442,66.6666666666667,23.265,21.735,3,5,7,27
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","3666dznk2dr3vdmzw5rnfhiei","La Serena vs Deportivo Antofagasta","Regular Season",FALSE,"fh",148,9,3,0,1,4,6,0,9,2,9,198,8,12,7,53.6,9,0,1,1,1,1,1,5,5,0,0,0,0,0,0,0,0,46.4,74.7474747474748,71.4285714285714,24.12,20.88,1,5,16,23
"Primera Divisi<f3>n 2020","La Serena","3666dznk2dr3vdmzw5rnfhiei","La Serena vs Deportivo Antofagasta","Regular Season",TRUE,"fh",126,7,5,1,3,1,9,0,10,1,4,173,4,10,8,46.4,11,0,1,0,0,0,7,3,3,0,0,0,0,0,0,0,0,53.6,72.8323699421965,11.1111111111111,20.88,24.12,3,7,15,17
"Primera Divisi<f3>n 2020","Colo Colo","e8bsx8f1zwmlk9q67akszuq22","La Serena vs Colo Colo","Regular Season",FALSE,"fh",162,2,3,0,1,1,4,0,11,1,1,197,5,4,9,45.8,8,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,54.2,82.2335025380711,25,20.61,24.39,1,8,11,17
"Primera Divisi<f3>n 2020","La Serena","e8bsx8f1zwmlk9q67akszuq22","La Serena vs Colo Colo","Regular Season",TRUE,"fh",193,6,1,0,1,1,6,0,5,1,2,226,8,10,5,54.2,3,0,3,0,0,3,2,3,3,0,0,0,0,0,0,0,0,45.8,85.3982300884956,16.6666666666667,24.39,20.61,1,4,11,19
"Primera Divisi<f3>n 2020","Cobresal","6xmgw01uptguhezw7cseso7ze","La Serena vs Cobresal","Regular Season",FALSE,"fh",124,7,5,1,3,2,5,0,8,2,9,169,6,8,10,45.7,6,0,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,54.3,73.3727810650888,50,20.565,24.435,3,8,17,17
"Primera Divisi<f3>n 2020","La Serena","6xmgw01uptguhezw7cseso7ze","La Serena vs Cobresal","Regular Season",TRUE,"fh",147,9,2,1,1,4,14,0,14,0,2,193,9,11,6,54.3,13,0,3,1,1,0,7,5,5,0,0,0,0,0,0,0,0,45.7,76.1658031088083,33.3333333333333,24.435,20.565,1,6,15,28
"Primera Divisi<f3>n 2020","Universidad de Chile","194ksppj2qlhefg3bw621r3ai","Huachipato vs Universidad de Chile","Regular Season",FALSE,"fh",202,9,3,0,1,1,6,0,12,0,3,233,6,11,4,63.4,9,0,0,0,0,1,5,6,6,0,0,0,0,0,0,0,0,36.6,86.6952789699571,16.6666666666667,28.53,16.47,1,4,13,25
"Primera Divisi<f3>n 2020","Huachipato","194ksppj2qlhefg3bw621r3ai","Huachipato vs Universidad de Chile","Regular Season",TRUE,"fh",97,6,6,0,1,1,3,0,13,1,6,135,4,10,6,36.6,10,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,63.4,71.8518518518519,33.3333333333333,16.47,28.53,1,5,12,22
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","6xpky81m8uvumwk2hkbqosa5m","Huachipato vs Universidad Concepci<f3>n","Regular Season",FALSE,"fh",95,2,1,0,3,1,6,0,10,1,3,137,8,4,8,35.2,5,0,1,0,1,1,4,1,1,0,0,0,1,0,0,0,0,64.8,69.3430656934307,28.5714285714286,15.84,29.16,3,7,10,20
"Primera Divisi<f3>n 2020","Huachipato","6xpky81m8uvumwk2hkbqosa5m","Huachipato vs Universidad Concepci<f3>n","Regular Season",TRUE,"fh",208,3,1,1,0,3,6,0,6,1,5,250,6,7,9,64.8,5,0,0,0,0,1,3,1,1,1,1,1,0,0,0,0,0,35.2,83.2,50,29.16,15.84,0,8,12,14
"Primera Divisi<f3>n 2020","Cobresal","9nuvceah6ha40t1h0d4hnm2qy","Huachipato vs Cobresal","Regular Season",FALSE,"fh",168,7,2,1,1,2,5,0,7,1,6,207,10,7,7,46.7,4,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,53.3,81.1594202898551,40,21.015,23.985,1,6,14,22
"Primera Divisi<f3>n 2020","Huachipato","9nuvceah6ha40t1h0d4hnm2qy","Huachipato vs Cobresal","Regular Season",TRUE,"fh",193,1,2,0,2,2,3,1,7,2,3,232,7,1,11,53.3,4,0,0,1,1,0,1,2,2,0,0,0,0,0,0,0,1,46.7,83.1896551724138,75,23.985,21.015,2,9,12,16
"Primera Divisi<f3>n 2020","Audax Italiano","e8ikyn9qvtwprhmq4w8mcohgq","Huachipato vs Audax Italiano","Regular Season",FALSE,"fh",144,4,5,2,1,2,8,0,5,1,6,193,5,5,4,58.6,10,0,1,0,0,2,5,7,7,0,0,0,0,0,0,0,0,41.4,74.6113989637306,25,26.37,18.63,1,3,8,19
"Primera Divisi<f3>n 2020","Huachipato","e8ikyn9qvtwprhmq4w8mcohgq","Huachipato vs Audax Italiano","Regular Season",TRUE,"fh",89,4,7,0,2,3,12,0,9,1,5,136,4,7,6,41.4,11,0,5,2,2,3,4,5,5,0,0,0,0,0,0,0,0,58.6,65.4411764705882,35.7142857142857,18.63,26.37,2,5,10,21
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","18ofwh6krv57uot3vmtym6iqy","Everton vs Universidad Concepci<f3>n","Regular Season",FALSE,"fh",118,10,3,0,2,1,5,0,7,1,4,173,3,13,6,41.8,9,0,2,1,1,2,2,5,5,0,0,0,0,0,0,0,0,58.2,68.2080924855491,33.3333333333333,18.81,26.19,2,5,16,17
"Primera Divisi<f3>n 2020","Everton","18ofwh6krv57uot3vmtym6iqy","Everton vs Universidad Concepci<f3>n","Regular Season",TRUE,"fh",196,4,5,1,0,2,5,0,17,1,6,247,6,6,3,58.2,14,0,1,0,0,0,2,3,3,0,0,0,0,0,0,0,0,41.8,79.3522267206478,40,26.19,18.81,0,2,7,26
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","9oemkgs5xvboxpfmt3b1ffjai","Everton vs Uni<f3>n La Calera","Regular Season",FALSE,"fh",193,10,1,0,2,2,13,0,8,0,3,239,4,12,5,61.1,7,0,6,0,0,0,5,6,6,0,0,0,0,0,0,0,0,38.9,80.7531380753138,15.3846153846154,27.495,17.505,2,5,15,18
"Primera Divisi<f3>n 2020","Everton","9oemkgs5xvboxpfmt3b1ffjai","Everton vs Uni<f3>n La Calera","Regular Season",TRUE,"fh",106,2,6,0,1,2,3,0,10,0,7,156,4,3,5,38.9,4,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,61.1,67.948717948718,66.6666666666667,17.505,27.495,1,5,7,17
"Primera Divisi<f3>n 2020","La Serena","e9odinto5tgtev5tv8iv4wep6","Everton vs La Serena","Regular Season",FALSE,"fh",118,5,3,0,1,0,6,0,9,1,4,149,8,9,7,47.6,15,0,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,52.4,79.1946308724832,0,21.42,23.58,1,6,12,20
"Primera Divisi<f3>n 2020","Everton","e9odinto5tgtev5tv8iv4wep6","Everton vs La Serena","Regular Season",TRUE,"fh",121,8,3,0,0,1,5,0,9,0,6,166,6,11,8,52.4,8,0,2,0,0,2,2,3,3,0,0,0,0,0,0,0,0,47.6,72.8915662650602,20,23.58,21.42,0,8,16,20
"Primera Divisi<f3>n 2020","Coquimbo Unido","6y7vsn2lg19h8cvs8l418snl6","Everton vs Coquimbo Unido","Regular Season",FALSE,"fh",142,8,4,0,2,1,5,0,10,1,3,181,10,11,7,48.6,13,0,1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,51.4,78.4530386740332,20,21.87,23.13,2,6,15,23
"Primera Divisi<f3>n 2020","Everton","6y7vsn2lg19h8cvs8l418snl6","Everton vs Coquimbo Unido","Regular Season",TRUE,"fh",144,4,2,0,1,2,7,0,12,1,5,191,6,6,10,51.4,10,0,1,0,0,1,4,4,4,0,0,0,0,0,0,0,0,48.6,75.3926701570681,28.5714285714286,23.13,21.87,1,9,14,23
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","9oye8nfasqzjn0rhbkb0lm0ru","Deportivo Antofagasta vs Universidad Concepci<f3>n","Regular Season",FALSE,"fh",87,6,2,0,0,2,6,0,8,0,7,132,5,11,4,30.6,8,0,0,0,1,0,4,1,1,0,0,0,1,0,0,0,0,69.4,65.9090909090909,42.8571428571429,13.77,31.23,0,4,10,14
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","9oye8nfasqzjn0rhbkb0lm0ru","Deportivo Antofagasta vs Universidad Concepci<f3>n","Regular Season",TRUE,"fh",253,11,1,1,1,0,5,0,6,1,3,289,4,15,7,69.4,7,0,1,0,0,0,4,2,2,1,1,1,0,0,0,0,0,30.6,87.5432525951557,0,31.23,13.77,1,6,18,12
"Primera Divisi<f3>n 2020","Universidad Cat<f3>lica","6xz3yiwldqt1w7aqvq1xeicmi","Deportivo Antofagasta vs Universidad Cat<f3>lica","Regular Season",FALSE,"fh",202,6,2,1,3,5,9,0,4,0,2,235,8,7,8,58.6,3,0,2,2,2,0,2,2,2,1,1,1,0,0,0,0,0,41.4,85.9574468085106,63.6363636363636,26.37,18.63,3,8,14,14
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","6xz3yiwldqt1w7aqvq1xeicmi","Deportivo Antofagasta vs Universidad Cat<f3>lica","Regular Season",TRUE,"fh",134,4,2,2,3,4,6,0,4,1,3,161,8,4,9,41.4,8,0,0,0,1,2,2,2,2,0,0,0,1,0,0,0,0,58.6,83.2298136645963,71.4285714285714,18.63,26.37,3,8,13,16
"Primera Divisi<f3>n 2020","Curic<f3> Unido","e8pq3z0oo127rh7brzqtm2i5m","Deportivo Antofagasta vs Curic<f3> Unido","Regular Season",FALSE,"fh",179,5,4,0,3,0,0,0,14,0,6,228,9,5,10,50.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,78.5087719298246,0,22.86,22.14,3,10,15,23
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","e8pq3z0oo127rh7brzqtm2i5m","Deportivo Antofagasta vs Curic<f3> Unido","Regular Season",TRUE,"fh",175,2,0,0,0,3,7,0,8,2,6,215,8,4,9,49.2,2,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,0,50.8,81.3953488372093,42.8571428571429,22.14,22.86,0,7,11,21
"Primera Divisi<f3>n 2020","Coquimbo Unido","18v4yo6lnrquffm7nk3fjxgtm","Deportivo Antofagasta vs Coquimbo Unido","Regular Season",FALSE,"fh",143,5,1,2,3,0,3,0,6,1,6,184,4,7,10,48.5,16,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,51.5,77.7173913043478,0,21.825,23.175,3,9,15,12
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","18v4yo6lnrquffm7nk3fjxgtm","Deportivo Antofagasta vs Coquimbo Unido","Regular Season",TRUE,"fh",162,9,1,0,0,5,14,0,8,0,2,188,9,11,5,51.5,2,0,4,2,2,0,5,1,1,0,0,0,0,0,0,0,0,48.5,86.1702127659574,43.75,23.175,21.825,0,5,14,18
"Primera Divisi<f3>n 2020","O'Higgins","e8ew00ocdykl8753d7aqzq0yy","Deportes Iquique vs O'Higgins","Regular Season",FALSE,"fh",188,10,0,1,2,0,10,0,12,2,5,224,2,11,10,54.4,9,0,3,0,0,0,7,2,2,1,1,1,0,0,0,0,0,45.6,83.9285714285714,0,24.48,20.52,2,8,20,16
"Primera Divisi<f3>n 2020","Deportes Iquique","e8ew00ocdykl8753d7aqzq0yy","Deportes Iquique vs O'Higgins","Regular Season",TRUE,"fh",162,4,2,0,0,3,8,0,10,0,7,192,9,7,3,45.6,10,0,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,54.4,84.375,44.4444444444444,20.52,24.48,0,3,7,21
"Primera Divisi<f3>n 2020","Everton","361wxe0h46utsvq3bjrsojt62","Deportes Iquique vs Everton","Regular Season",FALSE,"fh",122,5,0,2,0,5,7,0,12,2,6,178,5,7,8,46.9,5,0,1,0,0,3,1,2,2,1,1,1,0,0,0,0,0,53.1,68.5393258426966,71.4285714285714,21.105,23.895,0,6,13,22
"Primera Divisi<f3>n 2020","Deportes Iquique","361wxe0h46utsvq3bjrsojt62","Deportes Iquique vs Everton","Regular Season",TRUE,"fh",154,4,2,0,5,2,7,1,8,1,3,195,7,7,5,53.1,13,0,2,1,2,0,3,0,0,0,0,0,1,0,0,0,0,46.9,78.974358974359,44.4444444444444,23.895,21.105,5,4,9,15
"Primera Divisi<f3>n 2020","Deportivo Antofagasta","6z0obwx9bj45vvmfcms5x1x0q","Deportes Iquique vs Deportivo Antofagasta","Regular Season",FALSE,"fh",124,3,1,0,3,4,9,1,18,2,4,165,7,4,4,49,9,0,1,1,2,1,4,2,2,0,0,0,1,0,0,0,0,51,75.1515151515151,54.5454545454545,22.05,22.95,3,2,7,28
"Primera Divisi<f3>n 2020","Deportes Iquique","6z0obwx9bj45vvmfcms5x1x0q","Deportes Iquique vs Deportivo Antofagasta","Regular Season",TRUE,"fh",128,3,2,2,2,3,4,0,11,1,5,178,4,4,7,51,12,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,49,71.9101123595506,75,22.95,22.05,2,6,10,18
"Primera Divisi<f3>n 2020","La Serena","37vm91kjjjdhjsohmnxjuj9t6","Curic<f3> Unido vs La Serena","Regular Season",FALSE,"fh",66,9,2,1,2,0,5,1,18,0,5,111,5,10,8,41.3,5,0,0,0,0,1,5,1,1,1,1,0,0,0,1,0,0,58.7,59.4594594594595,0,18.585,26.415,3,8,17,25
"Primera Divisi<f3>n 2020","Curic<f3> Unido","37vm91kjjjdhjsohmnxjuj9t6","Curic<f3> Unido vs La Serena","Regular Season",TRUE,"fh",115,6,1,0,0,3,8,0,16,1,8,159,7,8,6,58.7,7,0,2,1,1,0,3,2,2,0,0,0,1,0,0,0,0,41.3,72.3270440251572,44.4444444444444,26.415,18.585,0,5,12,25
"Primera Divisi<f3>n 2020","Huachipato","9q2kjf87buyy2jcqhpm1e23xm","Curic<f3> Unido vs Huachipato","Regular Season",FALSE,"fh",84,6,2,0,2,2,4,0,13,2,4,143,4,8,10,40.3,5,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,59.7,58.7412587412587,50,18.135,26.865,2,8,16,20
"Primera Divisi<f3>n 2020","Curic<f3> Unido","9q2kjf87buyy2jcqhpm1e23xm","Curic<f3> Unido vs Huachipato","Regular Season",TRUE,"fh",155,7,2,0,1,2,5,0,11,0,1,212,10,11,4,59.7,4,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,40.3,73.1132075471698,40,26.865,18.135,1,4,11,25
"Primera Divisi<f3>n 2020","Deportes Iquique","6xvvx278kjjdep0f9uv3jo8yy","Curic<f3> Unido vs Deportes Iquique","Regular Season",FALSE,"fh",136,7,4,0,3,0,3,0,16,0,3,193,7,9,6,48.7,9,0,1,0,0,0,2,4,4,0,0,0,0,0,0,0,0,51.3,70.4663212435233,0,21.915,23.085,3,6,13,27
"Primera Divisi<f3>n 2020","Curic<f3> Unido","6xvvx278kjjdep0f9uv3jo8yy","Curic<f3> Unido vs Deportes Iquique","Regular Season",TRUE,"fh",145,7,4,0,0,3,9,0,18,0,2,197,5,12,8,51.3,1,0,4,0,0,3,2,4,4,0,0,0,0,0,0,0,0,48.7,73.6040609137056,33.3333333333333,23.085,21.915,0,8,15,30
"Primera Divisi<f3>n 2020","Colo Colo","9op4djb93ljpuxyrewfe4h2ei","Curic<f3> Unido vs Colo Colo","Regular Season",FALSE,"fh",148,5,2,0,1,0,0,0,11,2,6,194,7,8,9,52.1,11,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,47.9,76.2886597938144,0,23.445,21.555,1,7,14,21
"Primera Divisi<f3>n 2020","Curic<f3> Unido","9op4djb93ljpuxyrewfe4h2ei","Curic<f3> Unido vs Colo Colo","Regular Season",TRUE,"fh",142,7,2,0,0,1,7,0,17,0,0,178,8,10,9,47.9,11,0,1,0,0,1,5,2,2,0,0,0,0,0,0,0,0,52.1,79.7752808988764,14.2857142857143,21.555,23.445,0,9,16,28
